,wine_name,taster,desc,rating,Price,Designation,Variety,Appellation,Winery,Alcohol,Bottle Size,Category,Date Published,User Avg Rating,Importer,badge
557,Ca' del Bosco 1997 Brut  (Franciacorta),Joe Czerwinski,"Earthy—with some aromas and flavors reminiscent of damp clay—but shows pleasant notes of sourdough, vanilla and cream as well, gliding gently into a citrusy palate and buttery, slightly soft finish. Drink now.",87,$65,Brut,"Sparkling Blend, Sparkling","Franciacorta, Lombardy, Italy",Ca' del Bosco,12.5%,750ML,Sparkling,12/31/2003,Not rated yet [Add Your Review],Terlato Wines International,
558,Groot Constantia 1999 Shiraz (Constantia),,There's a slight acrid tinge to the primarily woody nose and the fruit on the palate is tart and thin. Pleasant leathery and dried-spice notes partially redeem it.,82,$13,,Shiraz,"Constantia, South Africa",Groot Constantia,14%,750 ml,Red,10/1/2001,Not rated yet [Add Your Review],KWV Int'l,
559,Castillo de Monjardin 1999 Reserva - Barrel Fermented Chardonnay (Navarra),Michael Schachner,"Yellow in color and well oaked, with creamy, waxy aromas that convey richness. Flavors of honey, apple and lemon curd, and then an average, clean finish come later. Plenty of size and power are on display; if only the wine were more complex and subtle.",87,$20,Reserva - Barrel Fermented,Chardonnay,"Navarra, Northern Spain, Spain",Castillo de Monjardin,13%,750ML,White,5/1/2004,Not rated yet [Add Your Review],The Winebow Group LLC,
560,Paul Hobbs 2009 Beckstoffer To Kalon Vineyard Cabernet Sauvignon (Oakville),,"This is a pinnacle of the modern style of winemaking in Napa Valley. The tannins are strong but not aggressive. The acidity is just enough to provide balance for the tremendously rich blackberry, black currant, Kahlua and olive flavors. The oak is powerful, but the wine wears it easily. The finish is thoroughly dry, long and spicy. And although the alcohol is high, it's not impossible. You can drink it now, although the tannins could benefit from 6–8 years in the cellar.",96,$275,Beckstoffer To Kalon Vineyard,Cabernet Sauvignon,"Oakville, Napa, California, US",Paul Hobbs,15.2%,750 ml,Red,2/1/2013,Not rated yet [Add Your Review],,
561,Curto Marco 2011 Arborina Riserva  (Barolo),Kerin O’Keefe,"Truffle, new leather, pressed blue flower, menthol and a whiff of game lead the way. The aromas carry over to the ripe, full-bodied palate along with fleshy black cherry, steeped prune, cinnamon and star anise. Buffed tannins provide the framework. It's already accessible but will maintain well for the next several years. Drink through 2023.",91,$80,Arborina Riserva,Nebbiolo,"Barolo, Piedmont, Italy",Curto Marco,15%,750 ml,Red,3/1/2018,Not rated yet [Add Your Review],August Wine Group,
562,Knipser 2005 Blauer Trocken Spätburgunder (Pfalz),Joe Czerwinski,"This is an easygoing Pinot Noir with supple tannins and a soft mouthfeel. Cherry and vanilla flavors are inviting, with just a bit of a herbal note to add freshness. Drink now.",87,$26,Blauer Trocken,"Spätburgunder, Pinot Noir","Pfalz, Germany",Knipser,13%,750 ml,Red,6/1/2009,Not rated yet [Add Your Review],Magellan Wine Imports,
563,Château Bois de Rolland 2009  Bordeaux Supérieur,Roger Voss,"This is smooth and lush, with its tannins softened by ripe berry fruit and a strong presence of spicy wood. It has weight, density and, on the finish, fruitiness.",85,N/A,,Bordeaux-style Red Blend,"Bordeaux Supérieur, Bordeaux, France",Château Bois de Rolland,14%,750 ml,Red,9/1/2012,Not rated yet [Add Your Review],1_No Submitting Co,
564,Capezzana 2007 Conti Contini Sangiovese (Toscana),,"Thanks to its low price tag, this is the kind of wine you can pack for an outdoor picnic or drink at a family barbecue. It's fresh, clean and characterized by white cherry and cassis.",85,$13,Conti Contini,Sangiovese,"Toscana, Tuscany, Italy",Capezzana,13%,750 ml,Red,4/1/2011,Not rated yet [Add Your Review],Moët Hennessy USA,
565,St. Pauls 2013 Riesling (Alto Adige),Kerin O’Keefe,"Crisp and refreshing, it delivers honeysuckle, ripe yellow peach, pink grapefruit and lemon-lime sensations. Energizing minerality and crisp acidity give a pristine finish.",90,$18,,Riesling,"Alto Adige, Northeastern Italy, Italy",St. Pauls,13%,750 ml,White,8/1/2014,Not rated yet [Add Your Review],St. Pauls USA,
566,Rooiberg 2008 Reserve Shiraz (Robertson),Lauren Buzzeo,"There's a nice brambly character to this wine, with assertive savory herbs and fresh mint sprigs jazzing up the ripe berry-fruit core. Medium weight with a softly creamy texture and a vanilla-infused finish.",86,$15,Reserve,Shiraz,"Robertson, South Africa",Rooiberg,14%,750 ml,Red,6/1/2011,Not rated yet [Add Your Review],Worthwhile Wine Company,
567,Casa Silva 2010 Reserva Cabernet Sauvignon (Colchagua Valley),Michael Schachner,"The nose is vibrant and a bit feral, with aromas of red plum, cherry, red currant and herb. It feels lively, with raspberry, cherry and herbal plum flavors. The finish is juicy.",86,$12,Reserva,Cabernet Sauvignon,"Colchagua Valley, Chile",Casa Silva,14%,750 ml,Red,12/1/2012,Not rated yet [Add Your Review],Vin Divino,
568,Fusée 2005 Chardonnay (California),,"Nice price, clean wine, and probably unoaked. However, the fruit is kind of thin and watery.",83,$6,,Chardonnay,"California, California Other, California, US",Fusée,13.5%,750 ml,White,12/1/2006,Not rated yet [Add Your Review],,Best Buy
569,Rocca 2014 Grigsby Vineyard Syrah (Yountville),Virginie Boone,"Dark and inky, this is a burly wine, jammy to the core. Floral aromas meet spicy leather and white pepper alongside a strong streak of rosemary, recalling roast lamb, a pairing with which it would succeed.",93,$48,Grigsby Vineyard,Syrah,"Yountville, Napa, California, US",Rocca,15.4%,750 ml,Red,10/1/2018,Not rated yet [Add Your Review],,
570,Cadence 2009 Bel Canto Cara Mia Vineyard Red (Red Mountain),Paul Gregutt,"This could be labeled as Cabernet Franc, since it comprises 80% of the blend. The youthful lightness of the estate-grown grapes seems to lift the naturally tannic nature of the variety. It's clean and balanced, and it comes with an herbal underpinning. This is best for near-term drinking.",89,$55,Bel Canto Cara Mia Vineyard,Bordeaux-style Red Blend,"Red Mountain, Columbia Valley, Washington, US",Cadence,14.4%,750 ml,Red,4/1/2013,Not rated yet [Add Your Review],,
571,Novelty Hill 2009 Stillwater Creek Vineyard Syrah (Columbia Valley (WA)),Paul Gregutt,"This tight, young Syrah has a succinct core of blueberry and raspberry flavors, which are wrapped in a mix of herb, earth and green tea. The tannins are just slightly bitter, but all in balance, and that bitterness is not at all unpleasant.",90,$28,Stillwater Creek Vineyard,Syrah,"Columbia Valley (WA), Columbia Valley, Washington, US",Novelty Hill,14.4%,750 ml,Red,2/1/2013,Not rated yet [Add Your Review],,
572,Domaine la Roubine 2004  Gigondas,Joe Czerwinski,"An excellent effort, La Roubine's 2004 Gigondas takes blackberry and pepper notes and combines them in a lovely bouquet that's more than the sum of its parts. There's a lushly textured, creamy mouthfeel that makes for even more hedonistic delight. Like a repeating decimal, it's long on the finish. Drink now–2012, maybe longer.",91,$24,,Rhône-style Red Blend,"Gigondas, Rhône Valley, France",Domaine la Roubine,N/A,750 ml,Red,11/1/2006,Not rated yet [Add Your Review],Elite Wines Import,
573,Companhia das Quintas 2015 Portal da Vinha Red (Alentejano),Roger Voss,"This is a young, fruity wine made for early drinking. With bright acidity, soft tannins and forward red fruit, it's easy-drinking and ready now.",86,$15,Portal da Vinha,Portuguese Red,"Alentejano, Portugal",Companhia das Quintas,13.5%,750 ml,Red,5/1/2017,Not rated yet [Add Your Review],The Artisan Collection,
574,Akash 2016 Zinfandel (Temecula Valley),Matt Kettmann,"Elegant aromas of exotic strawberry, charred oak and loamy earth show on the nose of this bottling. The palate is clean and quite textural, with strong acid carrying red-fruit and cinnamon-spice flavors.",90,$52,,Zinfandel,"Temecula Valley, South Coast, California, US",Akash,16%,750 ml,Red,12/1/2019,Not rated yet [Add Your Review],,
575,Kontos 2013 Summit View Vineyard Malbec (Walla Walla Valley (WA)),Sean P. Sullivan,"Coming from an up-and-coming region of the valley, this wine is direct in its appeal, with opulent aromas of dark plum, grape gummy, peppery spices and an herbal top note. The flavors are broad and pure, showing a deft touch. Coffee flavors linger on the finish.",90,$44,Summit View Vineyard,Malbec,"Walla Walla Valley (WA), Columbia Valley, Washington, US",Kontos,14.5%,750 ml,Red,9/1/2016,Not rated yet [Add Your Review],,
576,Faiveley 2004 Les Vignerondes Premier Cru  (Nuits-St.-Georges),,"Shows a briary, toughly tensile quality to its aromas, along with hints of beet and meatiness, while the flavors tend more toward black cherries and crushed stone. Round and full in the mouth, with supple tannins on the finish.",90,$59,Les Vignerondes Premier Cru,Pinot Noir,"Nuits-St.-Georges, Burgundy, France",Faiveley,N/A,750 ml,Red,11/1/2006,Not rated yet [Add Your Review],Wilson Daniels Ltd,
577,Ruston 2002 La Maestra Red Wine Red (St. Helena),,"A Cabernet-based Bordeaux blend, and what a nice wine it is. Rich in cherry, raspberry, cassis and mocha flavors, but saved from simple fruit overload by good acidity and finely ground, though sizable, tannins. Has the structure to age though 2015.",93,$50,La Maestra Red Wine,"Cabernet Blend, Bordeaux-style Red Blend","St. Helena, Napa, California, US",Ruston,15.3%,750ML,Red,8/1/2006,Not rated yet [Add Your Review],,Editors' Choice
578,Casas del Bosque 2019 Pinot Noir Rosé (Casablanca Valley),Michael Schachner,"Citrus peel aromas are oily and modest, while this rosé of Pinot Noir is highly citric and skins-driven in terms of feel. Short, racy tangerine flavors are bold but limited, while this is basic on the finish.",85,$13,Pinot Noir,Rosé,"Casablanca Valley, Chile",Casas del Bosque,12.5%,750 ml,Rose,5/1/2020,Not rated yet [Add Your Review],"Southern Starz, Inc",
579,Sandrone 2016 Le Vigne  (Barolo),Kerin O’Keefe,"Fragrant, full bodied and boasting great finesse, this delicious Barolo hits all the right buttons. It opens with enticing aromas of woodland berry, rose, camphor, botanical herb and exotic spice while the elegantly structured palate doles out juicy red cherry, crushed raspberry, licorice and cinnamon. Firm, fine-grained tannins and fresh acidity keep it impeccably balanced. It's already tempting but hold for even more complexity. Drink 2024–2046.",98,$155,Le Vigne,Nebbiolo,"Barolo, Piedmont, Italy",Sandrone,14.5%,750 ml,Red,9/1/2020,Not rated yet [Add Your Review],Vintus LLC,Cellar Selection
580,Benessere 2012 Estate Sagrantino (St. Helena),Virginie Boone,"Self-proclaimed to be the only Sagrantino in the Napa Valley (which is probably true), this wine displays varietal character in its smoky leather and its fruit characteristics trafficking in tart cranberry, orange and black cherry. It is light and subtle.",87,$50,Estate,"Sagrantino, Italian Red","St. Helena, Napa, California, US",Benessere,13.1%,750 ml,Red,12/1/2016,Not rated yet [Add Your Review],,
581,Wines of Illyria 2012 Illyrian Traditional Vranac (Bosnia and Herzegovina),Jeff Jenssen,"Made from Vranac, an ancient variety from Illyria, now Bosnia and Herzegovina, this garnet wine has aromas of vanilla, toast, violet and toasted hazelnut. On the palate there are flavors of black currant, black raspberry, plum and elderberry.",86,$18,Illyrian Traditional,"Vranac, Other Red","Bosnia and Herzegovina, Bosnia and Herzegovina",Wines of Illyria,13%,750 ml,Red,11/1/2019,Not rated yet [Add Your Review],"Chandel & Chandel, INC.",
582,Roux Père et Fils 2015 Les Murgers des Denys de Chien Premier Cru  (Saint-Aubin),Roger Voss,"While this wine is rich, its tight texture brings out the minerality. Yellow fruits and toast are balanced with zingy acidity for a wine that will need time to broaden out. Drink from 2021.",90,$50,Les Murgers des Denys de Chien Premier Cru,Chardonnay,"Saint-Aubin, Burgundy, France",Roux Père et Fils,13.5%,750 ml,White,11/1/2017,Not rated yet [Add Your Review],Opici Wines,
583,Canoe Ridge 2018 The Expedition Chardonnay (Horse Heaven Hills),Sean P. Sullivan,"Aromas of vanilla, pear, butter and spice lead to full-bodied vanilla and apple flavors. The barrel notes play a significant role, but there's still a lot to like.",87,$15,The Expedition,Chardonnay,"Horse Heaven Hills, Columbia Valley, Washington, US",Canoe Ridge,14.14%,750 ml,White,8/1/2020,Not rated yet [Add Your Review],,
584,Farnese 2007 Rosato  (Montepulciano d'Abruzzo Cerasuolo),,You'll appreciate the elegant approach of this luminous rosé made from the Montepulciano grape and its friendly aromas of small berry and red rose. The wine offers nice smoothness and persistency that is driven by bursting fresh berry flavors.,86,$10,Rosato,"Montepulciano, Italian Red","Montepulciano d'Abruzzo Cerasuolo, Central Italy, Italy",Farnese,13%,750 ml,Rose,2/1/2009,Not rated yet [Add Your Review],Empson USA Ltd,Best Buy
585,Giesen 2014 Single Vineyard Selection Waihopai Pinot Noir (Marlborough),Christina Pickard,"One of Giesen's top single-vineyard wines, this is elegant and silky. Aromas of red berries, flowers, coffee grounds and cinnamon sticks are wrapped in a savory, dried leaf core. Light to medium in body, everything is in balance, from the delicate acidity and satiny tannins to the juicy, tart red fruit and floral flavors. Drink now–2026.",92,$50,Single Vineyard Selection Waihopai,Pinot Noir,"Marlborough, New Zealand",Giesen,14%,750 ml,Red,5/1/2018,Not rated yet [Add Your Review],Pacific Highway Wines & Spirits,
586,Prinsi 2003 Riserva Fausone  (Barbaresco),,"This Riserva Barbaresco scored in the “excellent” range because it is at drinking peak now. The wine is soft and generous and thickly padded with aromas of sweet cherry, almond marzipan, vanilla, red licorice, apple skin, black slate and smoke. It exhibits a remarkable balance between modern and traditional styles. Drink now.",91,$66,Riserva Fausone,Nebbiolo,"Barbaresco, Piedmont, Italy",Prinsi,14.5%,750 ml,Red,4/1/2009,Not rated yet [Add Your Review],"Enotec Imports, Inc",
587,Cordero di Montezemolo 2016 Gattera  (Barolo),Kerin O’Keefe,"Aromas of French oak, coconut, dark-skinned fruit and blue flower lead the way. Linear and firmly structured, the full-bodied palate offers ripe Marasca cherry, vanilla and toasted hazelnut alongside taut close-grained tannins. Drink after 2024–2031.",93,$85,Gattera,Nebbiolo,"Barolo, Piedmont, Italy",Cordero di Montezemolo,14.5%,750 ml,Red,9/1/2020,Not rated yet [Add Your Review],Ethica Wines,
588,Redtree 2005 Petite Sirah (California),,"The price is good and the wine is totally dry. This is a rugged, country-style wine that's so low in fruit, the alcohol, which is actually pretty low, dominates.",82,$9,,Petite Sirah,"California, California Other, California, US",Redtree,12.5%,750 ml,Red,11/1/2007,Not rated yet [Add Your Review],,
589,Ryan Patrick 2015 Olsen Brothers Vineyard Riesling (Yakima Valley),Sean P. Sullivan,"Lime, slate and floral aromas lead to an off-dry palate, with generous amounts of stone-fruit flavors. Floral notes persist on the finish.",89,$12,Olsen Brothers Vineyard,Riesling,"Yakima Valley, Columbia Valley, Washington, US",Ryan Patrick,12%,750 ml,White,3/1/2017,Not rated yet [Add Your Review],,Best Buy
590,Carmel 2012 Single Vineyard Kayoumi Vineyard White Riesling (Galilee),Mike DeSimone,"This medium-straw colored wine has a nose of lemon and tomato leaf. Flavors of lemon, orange, baking bread and a light cottony feel are ultimately brightened by a final wash of acidity.",86,$30,Single Vineyard Kayoumi Vineyard White,Riesling,"Galilee, Israel",Carmel,12.5%,750 ml,White,4/1/2015,Not rated yet [Add Your Review],Royal Wine Corporation,
591,Robert Weil 2009 Kiedrich Turmberg Trocken Riesling (Rheingau),Joe Czerwinski,"Starts off with struck flint and passion fruit, but develops almost sweaty notes that make it something of a challenge. It's light and lively, just too funky to rate higher.",84,$48,Kiedrich Turmberg Trocken,Riesling,"Rheingau, Germany",Robert Weil,13%,750 ml,White,12/1/2011,Not rated yet [Add Your Review],Loosen Bros. USA,
592,La Purísima 2007 Old Hands Organically Grown Monastrell (Yecla),Michael Schachner,"Light and rather floral for a Monastrell, with cassis, cherry and leather aromas. It's mildly brambly and not as deep as the 2006 version. Tastes like blackberry and leather, while the tannic grab is strapping. Finishes with a hint of spice and herbs, but also a pinch of bitterness.",86,$13,Old Hands Organically Grown,"Monastrell, Mourvèdre","Yecla, Levante, Spain",La Purísima,N/A,750 ml,Red,6/1/2009,Not rated yet [Add Your Review],Sommelier Imports,
593,Casa de Vilacetinho 2017 Superior Avesso-Loureiro White (Vinho Verde),Roger Voss,"Full of great fruits, this is a rich and ripe wine. White stone fruits, layers of juicy acidity and intense citrus and apricot flavors are overlaid with a tangy character, shot through with minerality. Drink this wine from 2019.",90,$13,Superior Avesso-Loureiro,Portuguese White,"Vinho Verde, Portugal",Casa de Vilacetinho,12%,750 ml,White,10/1/2018,Not rated yet [Add Your Review],Santa Maria Imports,Best Buy
594,Oremus 2013 Late Harvest  (Tokaji),Jeff Jenssen,"This late harvest wine reminds one of lemon grass, cut grass and honeysuckle. It is sweet with a good acid balance along with flavors of lemon meringue pie and lemon curd.",90,$26,Late Harvest,"Furmint, Other White","Tokaji, Hungary",Oremus,12%,750 ml,Dessert,5/1/2016,Not rated yet [Add Your Review],"Skurnik Wines, Inc",
595,Albert Bichot 2010 Domaine Adélie  (Mercurey),Roger Voss,"Soft and ripe, this has light tannins, red berry fruit and a round texture. It has a touch of firmness, acidity and good density. Drink now, or age it for 2–3 years.",86,N/A,Domaine Adélie,Pinot Noir,"Mercurey, Burgundy, France",Albert Bichot,N/A,750 ml,Red,4/1/2013,Not rated yet [Add Your Review],A French Paradox,
596,Rosenblum 2001 Gallagher Ranch Black Muscat (California),,"A plummy, semi-sweet dark red wine that could stand a bit of a chill in the fridge. It has a nice chocolatey edge that would be a good partner with dark chocolate desserts. Finishes clean and with good acidity.",85,$18,Gallagher Ranch,"Black Muscat, Muscat","California, California Other, California, US",Rosenblum,N/A,750ML,Dessert,8/1/2003,Not rated yet [Add Your Review],,
597,Astrales 2014  Ribera del Duero,Michael Schachner,"Lusty black-fruit aromas are earthy, oaky and smooth, exemplifying an excellent Ribera del Duero. A palate with pulsing acidity tempers rich flavors of blackberry, chocolate and vanilla. Creamy oak and some fire on the finish guarantee that this will evolve nicely through 2028.",93,$65,,Tempranillo,"Ribera del Duero, Northern Spain, Spain",Astrales,14.5%,750 ml,Red,4/1/2018,Not rated yet [Add Your Review],Grapes of Spain,Editors' Choice
598,Feudo di Santa Tresa 2010  Cerasuolo di Vittoria Classico,,"Cerasuolo di Vittoria is one of the most exciting red wines to emerge from southern Italy in recent years. This is made with organic fruit, and it shows bright tones of raspberry and cassis, with some tones of toasted almond and light spice at the back.",88,$16,,"Red Blends, Red Blends","Cerasuolo di Vittoria Classico, Sicily & Sardinia, Italy",Feudo di Santa Tresa,13.5%,750 ml,Red,3/1/2013,Not rated yet [Add Your Review],Vias Imports,
599,Château Batailley 2006  Pauillac,Roger Voss,"Batailley 2006 has been mainly about tannin from its earliest stages, and this has not yet changed. What has changed is that the tannin isn't by itself any more: black plum fruit is now giving some richness. It does need to age, but the elegance and the balance are coming.",90,N/A,,Bordeaux-style Red Blend,"Pauillac, Bordeaux, France",Château Batailley,N/A,750 ml,Red,3/1/2009,Not rated yet [Add Your Review],Château Batailley,
600,Luc Pirlet 2017 Classique Rosé (Pays d'Oc),Lauren Buzzeo,"A pale-pink color, this rosé offers extremely faint scents of white flowers, melon rind and orange. The palate is light and breezy, with supersoft red-fruit and citrus flavors. It's easy to drink, with final hints of cranberry and orange zest.",86,$12,Classique,Rosé,"Pays d'Oc, Languedoc-Roussillon, France",Luc Pirlet,12.5%,750 ml,Rose,6/1/2019,Not rated yet [Add Your Review],Saranty Imports,
601,Noceto 2008 Linsteadt Barbera (Shenandoah Valley (CA)),Virginie Boone,"Noceto is a Sierra Foothills' Sangiovese specialist but does a nice job with Barbera as well, this wine being well-integrated, not heavy-handed (13.8%) with a deft balance between acidity and fruit, mostly sweet cherry and blueberry. Very good.",89,$24,Linsteadt,Barbera,"Shenandoah Valley (CA), Sierra Foothills, California, US",Noceto,13.8%,750 ml,Red,10/1/2011,Not rated yet [Add Your Review],,
602,Valdivieso 2000 Barrel Selection Chardonnay (Central Valley),Michael Schachner,"This is the essence of fresh, crisp, light Chilean Chardonnay. A very light and well-applied dose of oak supports pear and apple fruit, and the finish is smooth and nicely nutty.",86,$12,Barrel Selection,Chardonnay,"Central Valley, Chile",Valdivieso,N/A,750 ml,Red,3/1/2002,Not rated yet [Add Your Review],Laird & Company,
603,Chatom 2001 Esmeralda Syrah (Calaveras County),,"Fruity, filled with succulent cherry, black raspberry and mocha flavors and even blueberries, in a fully dry wine. Soft and gentle texture, long spicy finish.",87,$28,Esmeralda,Syrah,"Calaveras County, Sierra Foothills, California, US",Chatom,N/A,750ML,Red,2/1/2005,Not rated yet [Add Your Review],,
604,Pauletts 2009 Stone Cutting No Oak Chardonnay (Clare Valley),Joe Czerwinski,"A lean, crisp style of Chardonnay, with citrusy flavors and a touch of honeyed development. Drink it over the next few months.",87,$20,Stone Cutting No Oak,Chardonnay,"Clare Valley, South Australia, Australia",Pauletts,12.5%,750 ml,White,2/1/2012,Not rated yet [Add Your Review],"International Spirits & Wines, LLC",
605,Poderi Elia 2016 Serracapelli  (Barbaresco),Kerin O’Keefe,"This has aromas of weedy underbrush, used leather and moist soil. The lean palate is already evolved, suggesting prune, blood orange and the barest hint of roasted coffee bean alongside grainy, fleeting tannins.",86,$57,Serracapelli,Nebbiolo,"Barbaresco, Piedmont, Italy",Poderi Elia,14%,750 ml,Red,10/1/2020,Not rated yet [Add Your Review],August Wine Group,
606,Peregrine 2018 Sauvignon Blanc (Central Otago),Christina Pickard,"This is a multifaceted and tasty drop from two organic vineyards in the Bendigo and Pisa subregions of Central Otago. Fragrant, fruit aromas of grapefruit, lemon, pineapple and lychee are laced with streaks of honey, flint and minerals, showing just a little green veg and herbal nuances. The palate offers zippy acidity, bright fruit, dried herb and chalky minerality, leading to a lemony zing on the finish.",91,$29,,Sauvignon Blanc,"Central Otago, New Zealand",Peregrine,13%,750 ml,White,5/1/2019,Not rated yet [Add Your Review],Vineyard Brands,
607,Pride Mountain 2015 Chardonnay (Napa Valley),Virginie Boone,"Oaky and spicy, this wine traffics in lemon, lime and tart green apple, a medium-bodied effort of balanced richness and concentration that should do well at the table.",90,$42,,Chardonnay,"Napa Valley, Napa, California, US",Pride Mountain,14.4%,750 ml,White,9/1/2017,Not rated yet [Add Your Review],,
608,Gustave Lorentz 2012 Le Rosé (Alsace),Roger Voss,"This Pinot Noir rosé has raspberry flavor softened with a touch of caramel and given structure by light tannins. The wine has a ripe feel, down to the warm acidity on the finish.",85,$20,Le,Rosé,"Alsace, Alsace, France",Gustave Lorentz,12%,750 ml,Rose,3/1/2014,Not rated yet [Add Your Review],Quintessential Wines,
609,Broadley 2016 Shea Pinot Noir (Willamette Valley),Paul Gregutt,"A lot of Oregon vintners are eager to get on Shea's customer list, and this bottle is as good an example as any why that's the case. A striking mix of cranberry, strawberry, raspberry and marionberry flavors, it also sports a firm seam of stem and earth. The tannins are smooth and polished, with the pleasantly drying mouthfeel of tea.",92,$55,Shea,Pinot Noir,"Willamette Valley, Willamette Valley, Oregon, US",Broadley,13.8%,750 ml,Red,3/1/2019,Not rated yet [Add Your Review],,
610,La Crema 2004 Pinot Noir (Carneros),,"A little one-dimensional, but clean and tasty, with bright cherry and cola flavors and some smoky oak. The silky texture and brisk acidity make it food-friendly, especially with something like grilled wild salmon.",86,$29,,Pinot Noir,"Carneros, Napa-Sonoma, California, US",La Crema,15.1%,750 ml,Red,11/1/2006,Not rated yet [Add Your Review],,
611,Achaia Clauss 2006 Demestica White (Patras),Susan Kostrzewa,"Cheerful, light white aromas of citrus—lemon and orange mainly—lead on this white blend from Patras. On the palate, it's refreshing but offers some depth in its lemon and orange muscat flavors. Simple but appealing, and at an excellent price.",85,$9,Demestica,White Blend,"Patras, Greece",Achaia Clauss,11%,750 ml,White,8/1/2008,Not rated yet [Add Your Review],"Stellar Importing Company, LLC",Best Buy
612,Loring Wine Company 2006 Shea Vineyard Pinot Noir (Willamette Valley),Paul Gregutt,"This is the first wine made from Oregon grapes by this southern California winery. But one can't help but wonder if shipping fruit all the way down the coast might bang it up a bit. For whatever reason, this wine tastes fractured, metallic and chalky. There is a core of black cherry, but it seems surrounded by gun-metal flavors, which stick to the palate and abruptly shut down the finish.",85,$50,Shea Vineyard,Pinot Noir,"Willamette Valley, Willamette Valley, Oregon, US",Loring Wine Company,N/A,750 ml,Red,10/1/2008,Not rated yet [Add Your Review],,
613,Verum 2010 Chardonnay (Patagonia),Michael Schachner,Generic melon and peach aromas precede a slightly forced and sweet palate with melony flavors and some tail-end bitterness. The finish is creamy and shows vanilla as well as peach and toast notes. Very basic Chardonnay given the price.,84,$17,,Chardonnay,"Patagonia, Other, Argentina",Verum,13.8%,750 ml,White,5/1/2011,Not rated yet [Add Your Review],Vino Del Sol,
614,Felsner 2004 Gedersdorfer Moosburgerin Grüner Veltliner (Kremstal),Joe Czerwinski,"Stony and minerally, with some nectarine and citrus scents that develop into grapefruit and stone fruit flavors on the palate. Clean and fresh without being hard or edgy, this is nicely balanced and nicely priced. Imported by Grape Expectations (CA).",87,$15,Gedersdorfer Moosburgerin,Grüner Veltliner,"Kremstal, Austria",Felsner,12.5%,750ML,White,11/1/2005,Not rated yet [Add Your Review],Grape Expectations (CA),
615,Flambeaux 2017 Zinfandel (Dry Creek Valley),Virginie Boone,"This is a full-bodied varietal wine, earthy in aspects of anise and dark chocolate. Blueberry and raspberry flavors mingle around tightly wound tannins and integrated oak, with tart acidity lending lift and lasting freshness.",92,$40,,Zinfandel,"Dry Creek Valley, Sonoma, California, US",Flambeaux,14.8%,750 ml,Red,7/1/2019,Not rated yet [Add Your Review],,
616,Peter Lehmann 2001 The Futures Shiraz (Barossa Valley),,"What was once a cellar door-only wine finally makes its way Stateside. Fruit is juicy and chewy from palate to finish, dressed up with a hint of barbecue smoke. Nose is super creamy, with plum fruit in a supporting role.",89,N/A,The Futures,Shiraz,"Barossa Valley, South Australia, Australia",Peter Lehmann,N/A,750ML,Red,2/1/2004,Not rated yet [Add Your Review],Hess Family Wine Estates,
617,Phillips Hill 2013 Oppenlander Vineyard Pinot Noir (Mendocino),Jim Gordon,"An outstanding example of balance and reserve that doesn't lack in flavor, this wine will pair well with a wide variety of foods. It has a mild color as well as spicy, woodsy aromas due to 35% whole-cluster fermentation. Satisfying flavors resemble a wine-reduction sauce but are dry and crisp.",94,$48,Oppenlander Vineyard,Pinot Noir,"Mendocino, Mendocino County, California, US",Phillips Hill,13.8%,750 ml,Red,6/1/2016,Not rated yet [Add Your Review],,Editors' Choice
618,McKinley Springs 2010 Syrah (Horse Heaven Hills),Sean P. Sullivan,"The oak (25% new French and American) is pleasantly dialed back here allowing the pure notes of plum, cherry, and espresso to shine through. The concentration dips a bit in the middle but it still brings much to enjoy and fits in well at the dinner table.",88,$24,,Syrah,"Horse Heaven Hills, Columbia Valley, Washington, US",McKinley Springs,14.2%,750 ml,Red,9/1/2013,Not rated yet [Add Your Review],,
619,Garofalo 2012 Les Collines Vineyard Viognier (Walla Walla Valley (WA)),Paul Gregutt,Scents and flavors of toasted grain introduce this pretty wine that boasts accents of citrus blossom. Hints of peach skin carry some bite in the back of the mouth. Serve chilled and drink soon.,86,$16,Les Collines Vineyard,Viognier,"Walla Walla Valley (WA), Columbia Valley, Washington, US",Garofalo,13.2%,750 ml,White,12/31/2013,Not rated yet [Add Your Review],,
620,Ancient Oak Cellars 2011 Zinfandel (Russian River Valley),Virginie Boone,"This offers a pleasing intermix of fruit and spice, from blackberry and plum to Cab-like cassis. Juicy, mouthfilling and structured, it has a finish all about cinnamon and peppercorns.",89,$27,,Zinfandel,"Russian River Valley, Sonoma, California, US",Ancient Oak Cellars,13.8%,750 ml,Red,11/1/2014,Not rated yet [Add Your Review],,
621,Jamesport 2011 Chardonnay (North Fork of Long Island),Anna Lee C. Iijima,"The scent of apple blossoms perfume this round, richly structured wine, accentuating flavors of apple and pear on the palate. Touches of vanilla and cream add weight and mouthfeel, but the wine finishes crisp with lemony acidity and saline minerality.",87,$18,,Chardonnay,"North Fork of Long Island, Long Island, New York, US",Jamesport,13.5%,750 ml,White,7/1/2014,Not rated yet [Add Your Review],,
