,taster,desc,rating,Price,Designation,Variety,Appellation,Winery,Alcohol,Bottle Size,Category,Date Published,User Avg Rating,Importer,badge
163,Roger Voss,"The wood aging has not yet left the fruit behind in this warm, rich yet dry Port. It has intense concentration, the herbs and spices showing through the rich, smooth texture. The aftertaste is rounded, even with its fortified edge.",93,$53,Colheita,"Port, Port Blend","Port, Portugal",Niepoort,20%,750 ml,Port/Sherry,6/1/2012,Not rated yet [Add Your Review],Martine's Wines,
164,,"A delightfully spicy, rich Zinfandel, packed with fruity flavors ranging from blackberries and cola through chocolate to raisins. The alcohol is high, and the wine is a bit hot, but that's part of its personality.",87,$18,Old Vine,Zinfandel,"Fiddletown, Sierra Foothills, California, US",Fiddletown Cellars,15.5%,750 ml,Red,10/1/2010,Not rated yet [Add Your Review],,
165,Michael Schachner,"Smoked meat, rubber, char and leathery darkness are all good aromas for a value-priced Malbec. The palate is adequately deep and lush, and it maintains pulse and verve while delivering robust flavors of black fruits and herbs. Meaty and pretty long on the finish, and very good Malbec for the money.",88,$12,,Malbec,"Mendoza, Mendoza Province, Argentina",Colores del Sol,13.5%,750 ml,Red,11/1/2010,Not rated yet [Add Your Review],Foster's Wine Estates Americas,Best Buy
166,Kerin O’Keefe,"Made with Frappato and Nero d'Avola, this bright ruby-hued wine opens with red berry and earthy aromas of tilled soil and forest floor. The straightforward palate offers a fleeting Morello cherry flavor that's lightly dusted with white pepper.",87,$25,Victorya,"Red Blends, Red Blends","Cerasuolo di Vittoria, Sicily & Sardinia, Italy",Casa di Grazia,13.5%,750 ml,Red,9/1/2014,Not rated yet [Add Your Review],RDL Wine Rilymily,
167,Michael Schachner,"Latex, rubber and loud plum and berry aromas set up a somewhat astringent palate with rubbery, medicinal berry flavors. A note of saline appears on a firm, drawing finish.",85,$13,Joven,"Red Blends, Red Blends","Ribera del Duero, Northern Spain, Spain",Señorío de Sotillo,13.5%,750 ml,Red,4/1/2014,Not rated yet [Add Your Review],Vinamericas Selections,
168,Michael Schachner,"With aromas of prickly citrus, nettle, cucumber and green fruits, this is hanging in there well. The palate seems to be softening with age, but there's enough acidity left to prop up the green apple, bell pepper and tarragon flavors. A good, basic SB from Casablanca to drink now.",87,$11,Reserva,Sauvignon Blanc,"Casablanca Valley, Chile",Veramonte,13.5%,750 ml,White,12/31/2010,Not rated yet [Add Your Review],Huneeus Vintners,Best Buy
169,Jeff Jenssen,"An aromatic mélange of lemon custard, apple pie and salted caramel intrigue your nose while crisp flavors of lemon rind, citrus zest and grapefruit delight your palate. Pair this wine with freshly shucked oysters on a warm summer's day.",90,$18,Malvazija,"Malvasia, Italian White","Istria, Croatia",Kozlović,12.6%,750 ml,White,7/1/2014,Not rated yet [Add Your Review],Vinum USA Inc,
170,,"A little too sweet and soft. Tastes almost like a melted chocolate, red cherry and anise dessert. The finish is hot, too, making this wine pretty rustic. But it sure is delicious.",85,$25,Estate,Petite Sirah,"Alexander Valley, Sonoma, California, US",La Storia by Trentadue,14.9%,750 ml,Red,12/31/2011,Not rated yet [Add Your Review],,
171,Lauren Buzzeo,"Delicate aromas of crushed white peony, lemon verbena, chalk and apple flesh dance in the bouquet of this attractive sparkling wine, while flavors of green apple, yellow plum and lemon zest are direct and mouthwatering. The palate is fresh and zippy, with a lively mousse and bright acidity that lead into a medium-length but seriously refreshing finish.",91,$22,Clos des Demoiselles Tête de Cuvée Brut,"Sparkling Blend, Sparkling","Crémant de Limoux, Languedoc-Roussillon, France",J. Laurens,12%,750 ml,Sparkling,2/1/2019,Not rated yet [Add Your Review],Vigneron Imports,Editors' Choice
172,Kerin O’Keefe,"Subtle and elegant, this opens with a smoky aroma that underscores delicate scents of orchard fruit, citrus and botanical herb. The aromas follow through to the linear palate along with a racy mineral vein. A note of cured meat closes the racy finish.",89,$30,22,"Fiano, Italian White","Fiano di Avellino, Southern Italy, Italy",Villa Raiano,13%,750 ml,White,8/1/2016,Not rated yet [Add Your Review],Bacchanal Wine Imports,
173,Matt Kettmann,"This intriguing wine shows the depth and staying power of this historic region. Aromas of grape seed, pressed boysenberry, chaparral scrub and woody fruits show on the nose, while the palate offers a leaner Concord grape flavor and a rocky, peppery grip. It is still quite tannic despite its age, meaning it may last for years to come.",90,$70,Monte Bello Road,Cabernet Sauvignon,"Santa Cruz Mountains, Central Coast, California, US",Jason-Stephens,14.8%,750 ml,Red,12/31/2015,Not rated yet [Add Your Review],,Editors' Choice
174,Paul Gregutt,"The Côte Est Pinot Noir is from a block on the cooler, east-facing side of the vineyard, and crafted by Steve Ryan. Tight, herbal, briary and nuanced with tobacco and earth, this has a solid core of fruit and remarkable persistence.",91,$47,Côte Est,Pinot Noir,"Oregon, Oregon Other, Oregon, US",Le Cadeau,N/A,750 ml,Red,12/31/2009,Not rated yet [Add Your Review],,
175,Paul Gregutt,"The Morrison Lane Vineyard—the oldest Syrah planting in Walla Walla—is the source of the fruit. Crisply styled, with pretty raspberry fruit at its core, this well-balanced effort blends in accent notes of spice and barrel toast.",88,$32,,Syrah,"Walla Walla Valley (WA), Columbia Valley, Washington, US",Bunchgrass,N/A,750 ml,Red,11/1/2011,Not rated yet [Add Your Review],,
176,Roger Voss,"Made for drinking young, this wine is soft and richly fruity. Blackberry fruits are well assimilated with the light tannin core, allowing richness to balance with juicy fruitiness. Drink now.",86,$12,Monte Velho,Portuguese Red,"Alentejano, Portugal",Herdade do Esporão,13.5%,750 ml,Red,8/1/2020,Not rated yet [Add Your Review],Now Wine Imports,
177,Michael Schachner,"Full, solid and dishing pretty aromas of blackberry, dark plum and mild spice. Sturdy in the mouth, with nice balance and above-average mouthfeel. Tastes ripe, lightly toasted and it finishes smooth if a bit short. Textbook value Malbec; easy to like.",87,$11,Urban Uco,Malbec,"Uco Valley, Mendoza Province, Argentina",O. Fournier,14%,750 ml,Red,12/31/2011,Not rated yet [Add Your Review],Fine Estates From Spain,Best Buy
178,Anna Lee C. Iijima,"Savory spice, pollen and earth tones accent sunny pineapple, peach and honey in this easy-drinking, semidry white. It's fruity, forward nature is straightforward yet juicy, balanced by fresh acidity. Enjoy now.",86,$10,Piesporter Michelsberg,White Blend,"Mosel, Germany",Karl Josef,9%,750 ml,White,2/1/2019,Not rated yet [Add Your Review],Scoperta Importing Co. Inc,Best Buy
179,Sean P. Sullivan,"The aromas of yellow apple, pear and spice are light but enchanting. The tart flavors bring a lightly creamy feel, showing a sense of poise.",88,$13,,Chardonnay,"Columbia Valley (WA), Columbia Valley, Washington, US",Barnard Griffin,13.2%,750 ml,White,2/1/2017,Not rated yet [Add Your Review],,Best Buy
180,,"This is a huge Cabernet, very soft in the modern manner, and very ripe. It's a blast of cherry jam and milk chocolate, with plenty of toasty oak, and the tannins are firm and complex. Good now, it should hold well for the next ten years.",89,$55,Endeavor,Cabernet Sauvignon,"Dry Creek Valley, Sonoma, California, US",Dry Creek Vineyard,14.5%,750 ml,Red,12/31/2006,Not rated yet [Add Your Review],,
181,,"Sweet and simple, with jellied apricot, peach and vanilla flavors, and a honeysuckle finish.",82,$12,,Viognier,"California, California Other, California, US",Cline,14%,750 ml,White,11/1/2007,Not rated yet [Add Your Review],,
182,Michael Schachner,"Add Aurora to your list of dry Sherries that won't steer you wrong. It is a concentrated, slightly more powerful style of manzanilla with pear, pepper and rosemary aromas as well as a true, refined palate. Flavors of fresh mushroom and nuts are dry and just fruity enough. Like a kiss from the sea.",89,$13,Aurora Manzanilla Extra Dry,Sherry,"Jerez, Andalucia, Spain",Pedro Romero,15%,500 ml,Port/Sherry,6/1/2009,Not rated yet [Add Your Review],Frontier Wine Imports,Best Buy
183,Virginie Boone,"From two vineyards on Howell Mountain, this is a well-made medium-bodied wine, rich in chocolate and a taste of blackberry cobbler. Coffee accents a soft luxurious tannin structure and thick concentration that finishes with a tart acidity.",91,$75,,Cabernet Sauvignon,"Napa Valley, Napa, California, US",Sol Rouge,14.4%,750 ml,Red,11/1/2017,Not rated yet [Add Your Review],,
184,Virginie Boone,"Francis Coppola's wine sings in an intensity of baked apple and caramel, buoyed by high acidity and a stony quality. Layered and creamy, it satisfies fans of a richer mouthfeel while offering a lightness on the finish.",87,$21,,Chardonnay,"Russian River Valley, Sonoma, California, US",Director's Cut,14.5%,750 ml,White,12/1/2016,Not rated yet [Add Your Review],,
185,Michael Schachner,"Nettle and gritty citrus aromas suggest matchstick. In the mouth, this SB pumps citrus notes and minerality, while flavors of tangerine, lime and lemon are zesty and shearing. An acid-driven finish confirms the wine's one-note, chiseled quality.",88,$23,Marques de Casa Concha,Sauvignon Blanc,"Leyda Valley, Chile",Concha y Toro,13%,750 ml,White,8/1/2014,Not rated yet [Add Your Review],Excelsior Wines,
186,Michael Schachner,"Probably best at first, as it goes a little weedy upon further inspection. In its support there's some leather and cherry as well as creamy berry flavors. It feels good on the palate and isn't sour. But the fruit loses focus with each minute the wine is open.",84,$12,,Pinot Noir,"Central Coast, Central Coast, California, US",Echelon,13.7%,750ML,Red,12/1/2003,Not rated yet [Add Your Review],,
187,Roger Voss,"Tannins and earthy black fruits dominate this organic wine. It has a strong sense of terroir, with minerality and powerful tannins that are just beginning to soften. It is ready to drink.",88,$40,Cuvée les Bartavelles,Mourvèdre,"Bandol, Provence, France",Domaine Roche Redonne,14%,750 ml,Red,7/1/2020,Not rated yet [Add Your Review],Kysela Père et Fils,
188,Matt Kettmann,"Red apple, honeysuckle, Key lime and the slightest hint of flint show on the nose of this bottling from a Temecula producer. Broad white-peach flavors imbue the palate, cut by sour citrus and marmalade touches.",84,$22,,Chardonnay,"California, California Other, California, US",Bel Vino,13.9%,750 ml,White,12/31/2016,Not rated yet [Add Your Review],,
189,Michael Schachner,"Exotic aromas of cardamon, blueberry and sandalwood darken up and get more dense with time in the glass. This feels thick and jammy, but balanced. Flavors of loamy, baked berry fruits are ripe and full, while the finish is smooth, soft and a bit syrupy in feel. Drink this Cabernet-Syrah-Carmenère blend through 2017.",91,$29,Aluvion Gran Reserva,"Red Blends, Red Blends","Cachapoal Valley, Chile",Lagar de Bezana,14.5%,750 ml,Red,11/1/2014,Not rated yet [Add Your Review],Vino Del Sol,
190,Anne Krebiehl MW,"Blueberry and ripe red cherry combine into a wonderfully aromatic nose. The palate seems even fruitier, brimming with that juicy, full-flavored berry and cherry combo. This is light but generous, fresh and very moreish, with notions of cinnamon on the finish.",90,$14,Klassik,"Zweigelt, Other Red","Carnuntum, Austria",Artner,13%,750 ml,Red,7/1/2020,Not rated yet [Add Your Review],Vintners Alliance,Best Buy
191,Virginie Boone,"This is a blend of the best barrels of the vintage, in this year consisting of fruit primarily from Howell and Diamond mountains, with a touch of estate-grown Merlot. It offers astounding levels of richness and concentration alongside a nuanced approach to bold black fruit and spicy earth, its aromas of blackberry and clove peppered in wild violet. It impresses immediately but also pleads for more time in bottle; enjoy best 2020 through 2028.",96,$325,The Bishop,Cabernet Sauvignon,"Napa Valley, Napa, California, US",Hall,15.6%,750 ml,Red,2/1/2017,Not rated yet [Add Your Review],,Cellar Selection
192,Matt Kettmann,"What's not to like about a unique blend of 50% Tocai Friulano and 50% Arneis from an underappreciated region? That's especially true when aromas of Asian pear, wet stone and cinnamon lead into a mineral-laded, steely palate of yellow pear and crisp apple flesh.",91,$30,Bella Bianca Vista Verde Vineyard,White Blend,"San Benito, Central Coast, California, US",Bella Luna,12.48%,750 ml,White,3/1/2020,Not rated yet [Add Your Review],,Editors' Choice
193,,"Only a shadow of Newton's fabulous Unfiltered, but contains many similar traits, among them rich, ripe and opulent tropical fruit flavors that are long and persistent through the finish. There's an oaky creaminess that adds to the richness.",88,$24,,Chardonnay,"Napa-Sonoma, Napa-Sonoma, California, US",Newton,14.5%,750ML,White,8/1/2005,Not rated yet [Add Your Review],,
194,Kerin O’Keefe,"Oak, herb, fennel, hay and wild berry aromas lead the nose. The firm palate offers Morello cherry, oak, cinnamon, clove, Mediterranean herb and a confectionary note alongside tightly knit and austere tannins that need to unwind. Drink 2018–2030.",90,$60,,Sangiovese,"Brunello di Montalcino, Tuscany, Italy",San Polo,14.5%,750 ml,Red,5/1/2015,Not rated yet [Add Your Review],Leonardo LoCascio Selections–The Winebow Group,
195,Anne Krebiehl MW,Not only ripe apple but juicy yellow plum notes appear on the nose. That fruity appeal carries on right across the palate where it is supported by a lemony wave of frothy enlivening fizz. A tinge of autolysis adds seriousness and depth. This might benefit from a little further bottle age. The finish is dry and classy. Drink 2017–2019.,90,$24,Tradition,"Sparkling Blend, Sparkling","Crémant d'Alsace, Alsace, France",Kuentz-Bas,12%,750 ml,Sparkling,12/1/2017,Not rated yet [Add Your Review],Kermit Lynch Wine Merchant,
196,Virginie Boone,"Greenwood suggests cellaring this wine for four years but in the meantime it's more baked bread than earthy, red fruit and pretty high in acidity.",84,$30,,Pinot Noir,"Mendocino Ridge, Mendocino County, California, US",Greenwood Ridge,14.1%,750 ml,Red,12/31/2011,Not rated yet [Add Your Review],,
197,Anna Lee C. Iijima,"Bold hits of spice and toasted cedar envelop ripe black-cherry and plum flavors in this Merlot-based wine (augmented by proportions of Cabernet Sauvignon, Cabernet Franc and Petit Verdot). The palate is intensely lush and fruity but anchored neatly by a bitter edge of tannins and cranberry acidity. Should drink well through 2023.",88,$26,,"Meritage, Bordeaux-style Red Blend","North Fork of Long Island, Long Island, New York, US",Coffee Pot Cellars,13%,750 ml,Red,11/1/2016,Not rated yet [Add Your Review],,
198,Michael Schachner,"Mint and milk chocolate are the lead aromas, followed by cherry and herbal notes. The wine is basic, fresh and fruity, with choppy tannins, heat and lively red berry flavors with citrus undertones. Runs a bit rough and heady.",86,$15,La Multa Old Vine,"Garnacha, Grenache","Calatayud, Northern Spain, Spain",El Escocés Volante,14.5%,750 ml,Red,11/1/2011,Not rated yet [Add Your Review],Well-Oiled Wine Company,
199,,Le Ellere is a tight and fresh expression of Sangiovese that delivers a clean and crisp quality of fruit. The wine's acidity makes it a perfect pairing for ravioli stuffed with ricotta cheese or chicken in cream sauce.,88,$25,Le Ellere,Sangiovese,"Chianti Classico, Tuscany, Italy",Castello d'Albola,13%,750 ml,Red,5/1/2012,Not rated yet [Add Your Review],Zonin USA,
200,Joe Czerwinski,,87,$23,Chablis Premier Cru Beauroy,Chardonnay,"Chablis, Burgundy, France",Domaine Vincent Sauvestre,13%,750ML,White,11/1/2005,Not rated yet [Add Your Review],"Latitude Wines, Inc",
201,,"Packaged in a very heavy glass bottle, this bright Ripasso opens with mature aromas of prune, raspberry, cherry and cassis. Tones of leather and tobacco fill in the rear and the wine is compact on the close with a touch of bitter almond.",87,N/A,Monterè Cà de' Rocchi,"Corvina, Rondinella, Molinara, Italian Red","Valpolicella Superiore Ripasso, Veneto, Italy",Tinazzi,14%,750 ml,Red,2/1/2011,Not rated yet [Add Your Review],Terranova Imports,
202,,"Grillo is the base for many famous Sicilian white wines including fortified Marsala. However in this case, the grape produces a crisp, fresh, easy-drinking wine that pairs with seafood or Thai mango salad.",87,$15,Kados Risignolo,"Grillo, Italian White","Sicilia, Sicily & Sardinia, Italy",Duca di Salaparuta,13%,750 ml,White,4/1/2012,Not rated yet [Add Your Review],Corvo USA,
203,Anna Lee C. Iijima,"Long extended veins of bramble and dried herb lend depth to this intensely concentrated Spätburgunder. Youthful and primary, the palate bursts of rich black cherry and berry, but soft tannins and brisk acidity invigorate the finish. It's luscious and forward yet refined. Drink now through 2020.",90,$34,Rotwein Trocken,"Spätburgunder, Pinot Noir","Rheinhessen, Germany",Wittmann,13%,750 ml,Red,2/1/2016,Not rated yet [Add Your Review],Loosen Bros. USA,
204,Alexander Peartree,"Spry underripe peach, citrus spray and slightly bruised apple mark the nose of this new endeavor from Constellation. Off dry in style, the palate brings a bit more ripeness to the fruit, with a mild vein of acidity offering some lift.",86,$28,,Riesling,"Finger Lakes, Finger Lakes, New York, US",240 Days,N/A,750 ml,White,3/1/2018,Not rated yet [Add Your Review],,
205,Jim Gordon,"This is not your ordinary Syrah. Intense in flavor and rather tight in texture at this stage, this interesting and compelling wine offers a range of compelling aromas and flavors, from violets and cooked blackberries, to smoked meat and black pepper. Best through 2026.",93,$35,,Syrah,"Mendocino Ridge, Mendocino County, California, US",Windchaser,14.4%,750 ml,Red,9/1/2020,Not rated yet [Add Your Review],,
206,,"Huge, dark concentration makes this wine almost too much of a good thing. It offers inky density, with cured meat, spice, dark fruit, prune, blackberry and blackberry pie. Its bold astringency needs more time to soften.",92,$90,Podere Bellarina Riserva,"Sangiovese Grosso, Sangiovese","Brunello di Montalcino, Tuscany, Italy",Tenute Niccolai,15%,750 ml,Red,5/1/2012,Not rated yet [Add Your Review],Angelini Wine,
207,Susan Kostrzewa,"The expressive nose on this Pinot, with its violet, red berry and coffee aromas, is a fitting beginning to a very nice experience. Elegant, balanced flavors of red berry with a touch of sweetness and spice are backed by structured tannins that allow for aging. Complex but approachable.",88,$20,,Pinot Noir,"Elgin, South Africa",Paul Cluver,14.5%,750 ml,Red,11/1/2008,Not rated yet [Add Your Review],Vinnovative Imports,
208,,"Pietramarina (Carricante grapes grown with the labor-intensive alberello system on Mt. Etna) is a beautiful white wine with well-defined mineral tones, solid structure and focused aromas of peach and almond. It even has a hint of tannin, and this white wine will safely age five or more years.",91,$45,Pietramarina,"Carricante, Italian White","Etna, Sicily & Sardinia, Italy",Benanti,12.5%,750 ml,White,12/1/2009,Not rated yet [Add Your Review],Stellar Cellars Imports,
209,Anne Krebiehl MW,"The merest whiff of passion fruit is all that escapes on the shy nose of this wine. The palate comes in with scented, lemony freshness and easy lightness. There is proper concentration but an inherent coolness, too, alongside a slightly pithy texture that will allow this wine to evolve. Drink now–2030.",91,$25,Hospices,Riesling,"Alsace, Alsace, France",Domaine Gérard Neumeyer,14%,750 ml,White,9/1/2020,Not rated yet [Add Your Review],Multiple U.S. importers,
210,Paul Gregutt,"Cória has made significant strides with its white wine program, as this detailed and delicious Pinot Gris demonstrates. Firmly based in fleshy apple and pear fruit, it frames it in a shell of citrus rind. The mouthfeel brings refreshing minerality, and a hint of green melon in the finish.",91,$22,,Pinot Gris,"Willamette Valley, Willamette Valley, Oregon, US",Cória,13.9%,750 ml,White,8/1/2019,Not rated yet [Add Your Review],,
211,Roger Voss,"This is a particularly fruity rosé that's not quite dry but very fresh and full of strawberry flavors. It is fresh, ripe and ready to drink even in the winter.",86,$20,Brut Rosé,"Sparkling Blend, Sparkling","Crémant d'Alsace, Alsace, France",Jean-Baptiste Adam,12%,750 ml,Sparkling,3/1/2014,Not rated yet [Add Your Review],Artisan Vines Distributing,
212,,"Pretty copper color; has powerful aromas of strawberries. This full-bodied bubbly has deep flavors of strawberries, vanilla, white pepper and toast. The fruit is ripe, yet the body is elegant.",91,$32,Brut Rose,"Sparkling Blend, Sparkling","Russian River Valley, Sonoma, California, US",J Vineyards & Winery,12%,750 ml,Sparkling,6/1/2004,Not rated yet [Add Your Review],,Editors' Choice
213,Roger Voss,"92-94 With huge tannins, very dark fruits, powerful and concentrated. The wine is ripe, juicy and firmly tannic.",93,N/A,Barrel sample,Bordeaux-style Red Blend,"Pomerol, Bordeaux, France",Château Certan de May de Certan,N/A,750 ml,Red,6/1/2011,Not rated yet [Add Your Review],Etablissements Jean-Pierre Moueix,
214,Kerin O’Keefe,"This wine's yellow flower, Mediterranean brush and citrus aromas will grab your attention. On the full-bodied palate, a white almond note underscores ripe Bartlett pear, nectarine and candied lemon flavors while a mineral note energizes the finish.",90,N/A,,"Fiano, Italian White","Fiano di Avellino, Southern Italy, Italy",Le Masciare,14.5%,750 ml,White,7/1/2017,Not rated yet [Add Your Review],Swiss Cellars,
215,,"Must have been grown in the warmer parts of Monterey, because the wine is soft and candied, with jammy cherry and blackberry flavors veering into chocolate-covered raisins.",84,$28,Estate,Cabernet Sauvignon,"Monterey, Central Coast, California, US",Pianetta,N/A,750ML,Red,3/1/2006,Not rated yet [Add Your Review],,
216,Michael Schachner,"Aromas of red berries, licorice and tobacco create a sweet sensation, which is followed by more common berry and cherry flavors. Finishes with tons of fruit and weight. What it lacks in polish and complexity is made up for in density and depth of flavor.",88,$20,Calvano,Sangiovese,"Vino Nobile di Montepulciano, Tuscany, Italy",Fattoria di Gracciano Svetoni,13.5%,750ML,Red,10/1/2004,Not rated yet [Add Your Review],Kobrand,
217,Paul Gregutt,"This is made from fruit that's sourced mostly from Mercer's Spice Cabinet Vineyard in the Horse Heaven Hills, with some Tablas clone Syrah from the Rattlesnake Hills. It's a tasty wine but it seems incomplete. It has a ripe purple-fruit flavor, and it comes with plenty of power, but there's a hole in the middle. The finish kicks in with a splash of molasses.",88,$41,,Petite Sirah,"Columbia Valley (WA), Columbia Valley, Washington, US",Ott & Murphy,14.9%,750 ml,Red,4/1/2013,Not rated yet [Add Your Review],,
218,Virginie Boone,"Impenetrable upon entry, this tannic wine is leathery on the palate, offering notes of cedar, pencil shavings and tobacco. Big shouldered and full bodied, it's powerfully dense and concentrated.",85,$37,,Cabernet Franc,"Alexander Valley, Sonoma, California, US",V. Sattui,14.9%,750 ml,Red,10/1/2015,Not rated yet [Add Your Review],,
219,Roger Voss,"Big and spicy wood flavors dominate this rich, expressive wine. With its black currant and berry flavors, it's both fruity and structured. There is dense dryness as well that gives concentration to back up the fruitiness.",89,$13,Solo Reserva,"Touriga Nacional, Portuguese Red","Dão, Portugal",Caves Velhas,13.5%,750 ml,Red,8/1/2013,Not rated yet [Add Your Review],Intercontinental Packaging,Best Buy
220,Roger Voss,"Made from 100% Pineau d'Aunis, this light, fruity and gentle rosé comes from a region west of Orléans and north of the Loire. It produces crisp, cool wines, like this attractive raspberry-flavored bottling. It is ready to drink.",85,$12,Le Cocagne,Rosé,"Coteaux du Vendômois, Loire Valley, France",Cave Cooperative du Vendômois,12.5%,750 ml,Rose,5/1/2018,Not rated yet [Add Your Review],"Fruit of the Vines, Inc",
221,Joe Czerwinski,"Full-bodied and complex, this is a very drinkable Châteauneuf-du-Pape. Balanced and velvety rather than overly ripe or rich, it artfully combines cherry and garrigue notes. Drink it over the next several years.",92,N/A,,Rhône-style Red Blend,"Châteauneuf-du-Pape, Rhône Valley, France",Clos Saint Michel,N/A,750 ml,Red,8/1/2013,Not rated yet [Add Your Review],Siltstone Wines,
222,Kerin O’Keefe,"This single-vineyard wine from Dogliani, the spiritual home of Dolcetto, is made with wild yeasts. It's fragrant and structured, concluding with restrained wild-cherry, spice and mineral notes that come together with flair and finesse.",90,$18,Sirì d'Jermu,"Dolcetto, Italian Red","Dogliani Superiore, Piedmont, Italy",Pecchenino,14%,750 ml,Red,9/1/2013,Not rated yet [Add Your Review],Vias Imports,
223,Roger Voss,"A soft Vinho Verde, with white fruit flavors, only light acidity and some final sweetness. An attractive apéritif.",83,$14,Clemens Reserva,Portuguese White,"Vinho Verde, Portugal",Wines & Winemakers,11.5%,750 ml,White,11/1/2011,Not rated yet [Add Your Review],Marquee Selections,
224,Sean P. Sullivan,"Reduced out of the gate, it's a bit of a challenge to get at the varietal aromas. The flavors of lees, pear and star fruit provide intrigue, tapering toward the finish, with the concentration overall seeming a bit light.",84,$19,Single Vineyard,Chardonnay,"Eagle Foothills, Idaho, US",3 Horse Ranch Vineyards,13.4%,750 ml,White,11/1/2018,Not rated yet [Add Your Review],,
225,,"Some might characterize this as a dessert wine, but it's actually quite dry, with brisk acidity accompanying orange, peach, honey and vanilla flavors. No oak was involved, leaving the wine fresh and vibrant.",87,$17,,"Orange Muscat, Muscat","Santa Barbara County, Central Coast, California, US",Santa Barbara Winery,13.7%,750 ml,White,3/1/2014,Not rated yet [Add Your Review],,
226,Jim Gordon,"Tiny bubbles keep rising long after this dry and crisp wine made from 100% Chardonnay is poured. It has a lemony flavor with almost salty, nutty accents and vivid acidity to keep it clean and balanced.",90,$41,Blanc de Blancs,"Sparkling Blend, Sparkling","North Coast, North Coast, California, US",Schramsberg,12.4%,750 ml,Sparkling,11/1/2018,Not rated yet [Add Your Review],,
227,Roger Voss,"A creamy, vanilla- and ripe fruit-flavored wine. Apricot and melon fruit flavors dominate, with new wood and a delicate layer of crisp, clean acidity. Drink now.",84,$26,Signature,Chardonnay,"Bourgogne, Burgundy, France",Maison Champy,N/A,750 ml,White,5/1/2009,Not rated yet [Add Your Review],Langdon Shiverick,
228,Virginie Boone,"Although red cherry and raspberry make an appearance, this vineyard-designate is otherwise all about forested pine and earthy pungency, accented by a pretty floral tease of rose petal. High in acidity and tannin, it takes time in the glass to settle down and find its balance, with a lengthy finish of black licorice and clove.",90,$70,Terra de Promissio,Pinot Noir,"Sonoma Coast, Sonoma, California, US",Della,14.5%,750 ml,Red,2/1/2016,Not rated yet [Add Your Review],,
229,Roger Voss,"The wine has just the right density and weight for a Morgon. It comes from an 18-acre vineyard that gives a dark rich wine that is packed with tannins as well as black-cherry fruit. It is a complex wine, firm while also fruity. Drink starting from 2017.",92,$55,Corcelette,Gamay,"Morgon, Beaujolais, France",Domaine Lathuilière Gravallon,13%,750 ml,Red,11/1/2016,Not rated yet [Add Your Review],Apollo Fine Wines & Spirits,Editors' Choice
230,Virginie Boone,"This is a foot-trod, whole-cluster wine fermented like a white, that is copper orange and pink in color. The grapes come from the producer's Fox Den Vineyard and another Dutton Ranch site. Earthy cantaloupe, cherry and cranberry figure into the mix, as does orange peel and watermelon, the acidity tight and tautly stretched across the vibrant texture.",91,$30,Rosé of,Pinot Noir,"Green Valley, Sonoma, California, US",Dutton-Goldfield,13.5%,750 ml,Rose,9/1/2018,Not rated yet [Add Your Review],,
231,,"New oak accounts for 30% of the barrels used, yet it really dominates, with a buttered toast aroma and flavor. The malolactic fermentation brings notes of buttered popcorn, while the underlying notes of pineapples, Meyer lemons and limes are rich and ripe.",87,$30,,Chardonnay,"Russian River Valley, Sonoma, California, US",The Gardener,13.5%,750 ml,White,3/1/2013,Not rated yet [Add Your Review],,
232,Roger Voss,"This is a perfumed wine that's concentrated and full of white fruit, pineapple and kiwi. It has a cool, mineral character lending both freshness and a rich backdrop. It could well age for 2–3 years. Screwcap.",89,$25,,Riesling,"Kamptal, Austria",Loimer,12.5%,750 ml,White,7/1/2012,Not rated yet [Add Your Review],The Winebow Group LLC,
233,Michael Schachner,"A ripe, raisiny wine—it starts out with aromas of raisin, milk chocolate and candied berry. The palate is saturated, with prune and baked-plum flavors and a chunky finish. Drink now.",85,$19,Reserva,Malbec,"Patagonia, Other, Argentina",Bodega del Fin del Mundo,14%,750 ml,Red,8/1/2012,Not rated yet [Add Your Review],"Gaucho Imports, LLC",
234,Roger Voss,"Soft, fruity and with a ripe almond character, this is a bone dry Chenin. It has a delicious, juicy feel, crisp with tight acidity and minerality. Drink now for its freshness.",88,N/A,Sec,Chenin Blanc,"Vouvray, Loire Valley, France",Vignoble Brisebarre,N/A,750 ml,White,8/1/2014,Not rated yet [Add Your Review],Good Company Wines,
235,,"Shows lots of rich blackberry and cherry sour candy flavors, with a smoky coating of oak, and smooth, easy-to-drink tannins that make this Cabernet ready to open now.",87,$42,,Cabernet Sauvignon,"Napa Valley, Napa, California, US",Frog's Leap,13.7%,750 ml,Red,3/1/2012,Not rated yet [Add Your Review],,
236,Roger Voss,"A fruity wine, showing fresh berry fruits, maybe too fresh with the pronounced acidity. The tannins are there, seeming to float in the juicy character of the wine.",86,$39,,Pinot Noir,"Pommard, Burgundy, France",Manuel Olivier,13%,750 ml,Red,5/1/2011,Not rated yet [Add Your Review],Multiple U.S. importers,
237,,"Too soft, lacking vital structure, and too sweet for a dry table wine. Shows candied flavors of berries and cherries.",82,$18,,Sangiovese,"Cienega Valley, Central Coast, California, US",Pietra Santa,14.7%,750 ml,Red,8/1/2010,Not rated yet [Add Your Review],,
